class,type,name,spellID,omniCDDefault,skillCappedDefaults,OmniBar,OmniBarType,WeakAura,WeakAuraType,castTime,range,cooldown,iconUrl,screenshotUrl,description
DEATHKNIGHT,defensive,Anti-Magic Shell,48707,1,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-death-knight-anti-magic-shell.png,wow-death-knight-anti-magic-shell.jpg,Surrounds the Death Knight in an Anti-Magic Shell; absorbing 75% of the damage dealt by harmful spells (up to a maximum of 50% of the Death Knight's health) and preventing application of harmful magical effects.  Damage absorbed by Anti-Magic Shell energizes the Death Knight with additional runic power.  Lasts 5 sec.
DEATHKNIGHT,cc,Asphyxiate,221562,1,1,0,,0,,Instant,20 yards,45 seconds,wow-death-knight-asphyxiate.png,wow-death-knight-asphyxiate.jpg,Lifts the enemy target off the ground; crushing their throat with dark energy and stunning them for 5 sec.
DEATHKNIGHT,aoeCC,Blinding Sleet,207167,1,1,1,Crowd Control,0,,Instant,0 yards,1 minute,wow-death-knight-blinding-sleet.png,wow-death-knight-blinding-sleet.jpg,Targets in a cone in front of you are blinded; causing them to wander disoriented for 5 sec. Damage may cancel the effect.When Blinding Sleet ends; enemies are slowed by 50% for 6 sec.
DEATHKNIGHT,defensive,Icebound Fortitude,48792,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-death-knight-icebound-fortitude.png,wow-death-knight-icebound-fortitude.jpg,The Death Knight freezes his blood to become immune to Stun effects and reduce all damage taken by Glyph of Icebound Fortitude4030% plus additional damage reduction based on Defense for 12 sec.
DEATHKNIGHT,interrupt,Mind Freeze,47528,1,1,1,Interrupts,0,,Instant,15 yards,15 seconds,wow-death-knight-mind-freeze.png,wow-death-knight-mind-freeze.jpg,Smash the target's mind with cold; interrupting spellcasting and preventing any spell in that school from being cast for 4 sec.
DEATHKNIGHT,offensive,Pillar of Frost,51271,1,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-death-knight-pillar-of-frost.png,wow-death-knight-pillar-of-frost.jpg,The power of frost increases your Strength by 30% for 12 sec.
DEATHKNIGHT,disarm,Strangulate,47476,1,1,0,,0,,Instant,20 yards,45 seconds,wow-death-knight-strangulate.png,wow-death-knight-strangulate.jpg,Strangulates an enemy; silencing them for 5 sec.  Non-player victim spellcasting is also interrupted for 3 sec.
DEATHKNIGHT,offensive,Unholy Assault,207289,1,0,0,,1,Offensives,Instant,5 yards,1.5 minutes,wow-death-knight-unholy-assault.png,wow-death-knight-unholy-assault.jpg,Strike your target dealing (127.6% of Attack power) Shadow damage; infecting the target with 4 Festering Wounds and sending you into an Unholy Frenzy increasing all damage done by 20% for 20 sec.
DEMONHUNTER,defensive,Blur,198589,1,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-demon-hunter-blur.png,wow-demon-hunter-blur.jpg,Increases your chance to dodge by 50% and reduces all damage taken by 20% for 10 sec.
DEMONHUNTER,aoeCC,Chaos Nova,179057,0,1,1,Crowd Control,0,,Instant,0 yards,45 seconds,wow-demon-hunter-chaos-nova.png,wow-demon-hunter-chaos-nova.jpg,Unleash an eruption of fel energy; dealing (27.4816% of Attack power) Chaos damage and stunning all nearby enemies for 2 sec.[Chaos Fragments: Each enemy stunned by Chaos Nova has a 30% chance to generate a Lesser Soul Fragment]
